Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             20	         6	00100080	2d40006f	jal	x0,100354	  x0=0x00000000
             22	         7	00100354	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
             24	         8	00100358	8106	c.mv	x2,x1	  x0:0x00000000  x1:0x00000000  x2=0x00000000
             26	         9	0010035a	8186	c.mv	x3,x1	  x0:0x00000000  x1:0x00000000  x3=0x00000000
             28	        10	0010035c	8206	c.mv	x4,x1	  x0:0x00000000  x1:0x00000000  x4=0x00000000
             30	        11	0010035e	8286	c.mv	x5,x1	  x0:0x00000000  x1:0x00000000  x5=0x00000000
             32	        12	00100360	8306	c.mv	x6,x1	  x0:0x00000000  x1:0x00000000  x6=0x00000000
             34	        13	00100362	8386	c.mv	x7,x1	  x0:0x00000000  x1:0x00000000  x7=0x00000000
             36	        14	00100364	8406	c.mv	x8,x1	  x0:0x00000000  x1:0x00000000  x8=0x00000000
             38	        15	00100366	8486	c.mv	x9,x1	  x0:0x00000000  x1:0x00000000  x9=0x00000000
             40	        16	00100368	8506	c.mv	x10,x1	  x0:0x00000000  x1:0x00000000 x10=0x00000000
             42	        17	0010036a	8586	c.mv	x11,x1	  x0:0x00000000  x1:0x00000000 x11=0x00000000
             44	        18	0010036c	8606	c.mv	x12,x1	  x0:0x00000000  x1:0x00000000 x12=0x00000000
             46	        19	0010036e	8686	c.mv	x13,x1	  x0:0x00000000  x1:0x00000000 x13=0x00000000
             48	        20	00100370	8706	c.mv	x14,x1	  x0:0x00000000  x1:0x00000000 x14=0x00000000
             50	        21	00100372	8786	c.mv	x15,x1	  x0:0x00000000  x1:0x00000000 x15=0x00000000
             52	        22	00100374	8806	c.mv	x16,x1	  x0:0x00000000  x1:0x00000000 x16=0x00000000
             54	        23	00100376	8886	c.mv	x17,x1	  x0:0x00000000  x1:0x00000000 x17=0x00000000
             56	        24	00100378	8906	c.mv	x18,x1	  x0:0x00000000  x1:0x00000000 x18=0x00000000
             58	        25	0010037a	8986	c.mv	x19,x1	  x0:0x00000000  x1:0x00000000 x19=0x00000000
             60	        26	0010037c	8a06	c.mv	x20,x1	  x0:0x00000000  x1:0x00000000 x20=0x00000000
             62	        27	0010037e	8a86	c.mv	x21,x1	  x0:0x00000000  x1:0x00000000 x21=0x00000000
             64	        28	00100380	8b06	c.mv	x22,x1	  x0:0x00000000  x1:0x00000000 x22=0x00000000
             66	        29	00100382	8b86	c.mv	x23,x1	  x0:0x00000000  x1:0x00000000 x23=0x00000000
             68	        30	00100384	8c06	c.mv	x24,x1	  x0:0x00000000  x1:0x00000000 x24=0x00000000
             70	        31	00100386	8c86	c.mv	x25,x1	  x0:0x00000000  x1:0x00000000 x25=0x00000000
             72	        32	00100388	8d06	c.mv	x26,x1	  x0:0x00000000  x1:0x00000000 x26=0x00000000
             74	        33	0010038a	8d86	c.mv	x27,x1	  x0:0x00000000  x1:0x00000000 x27=0x00000000
             76	        34	0010038c	8e06	c.mv	x28,x1	  x0:0x00000000  x1:0x00000000 x28=0x00000000
             78	        35	0010038e	8e86	c.mv	x29,x1	  x0:0x00000000  x1:0x00000000 x29=0x00000000
             80	        36	00100390	8f06	c.mv	x30,x1	  x0:0x00000000  x1:0x00000000 x30=0x00000000
             82	        37	00100392	8f86	c.mv	x31,x1	  x0:0x00000000  x1:0x00000000 x31=0x00000000
             84	        38	00100394	00100117	auipc	x2,0x100	  x2=0x00200394
             86	        39	00100398	c6c10113	addi	x2,x2,-916	  x2:0x00200394  x2=0x00200000
             88	        40	0010039c	00000d17	auipc	x26,0x0	 x26=0x0010039c
             90	        41	001003a0	204d0d13	addi	x26,x26,516	 x26:0x0010039c x26=0x001005a0
             92	        42	001003a4	00000d97	auipc	x27,0x0	 x27=0x001003a4
             94	        43	001003a8	20cd8d93	addi	x27,x27,524	 x27:0x001003a4 x27=0x001005b0
             96	        44	001003ac	01bd5763	bge	x26,x27,1003ba	 x26:0x001005a0 x27:0x001005b0  x0=0x00000000
            100	        46	001003b0	000d2023	sw	x0,0(x26)	 x26:0x001005a0  x0:0x00000000 PA:0x001005a0 store:0x00000000 load:0x00000000
            102	        47	001003b4	0d11	c.addi	x26,4	 x26:0x001005a0 x26=0x001005a4
            106	        49	001003b6	ffaddde3	bge	x27,x26,1003b0	 x27:0x001005b0 x26:0x001005a4  x0=0x00000000
            112	        52	001003b0	000d2023	sw	x0,0(x26)	 x26:0x001005a4  x0:0x00000000 PA:0x001005a4 store:0x00000000 load:0x00000000
            114	        53	001003b4	0d11	c.addi	x26,4	 x26:0x001005a4 x26=0x001005a8
            118	        55	001003b6	ffaddde3	bge	x27,x26,1003b0	 x27:0x001005b0 x26:0x001005a8  x0=0x00000000
            124	        58	001003b0	000d2023	sw	x0,0(x26)	 x26:0x001005a8  x0:0x00000000 PA:0x001005a8 store:0x00000000 load:0x00000000
            126	        59	001003b4	0d11	c.addi	x26,4	 x26:0x001005a8 x26=0x001005ac
            130	        61	001003b6	ffaddde3	bge	x27,x26,1003b0	 x27:0x001005b0 x26:0x001005ac  x0=0x00000000
            136	        64	001003b0	000d2023	sw	x0,0(x26)	 x26:0x001005ac  x0:0x00000000 PA:0x001005ac store:0x00000000 load:0x00000000
            138	        65	001003b4	0d11	c.addi	x26,4	 x26:0x001005ac x26=0x001005b0
            142	        67	001003b6	ffaddde3	bge	x27,x26,1003b0	 x27:0x001005b0 x26:0x001005b0  x0=0x00000000
            148	        70	001003b0	000d2023	sw	x0,0(x26)	 x26:0x001005b0  x0:0x00000000 PA:0x001005b0 store:0x00000000 load:0x00000000
            150	        71	001003b4	0d11	c.addi	x26,4	 x26:0x001005b0 x26=0x001005b4
            152	        72	001003b6	ffaddde3	bge	x27,x26,1003b0	 x27:0x001005b0 x26:0x001005b4  x0=0x00000000
            154	        73	001003ba	00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
            158	        75	001003be	00000593	addi	x11,x0,0	  x0:0x00000000 x11=0x00000000
            162	        77	001003c2	016000ef	jal	x1,1003d8	  x1=0x001003c6
            164	        78	001003d8	1141	c.addi	x2,-16	  x2:0x00200000  x2=0x001ffff0
            166	        79	001003da	600007b7	lui	x15,0x60000	 x15=0x60000000
            170	        81	001003de	c606	c.swsp	x1,12(x2)	  x2:0x001ffff0  x1:0x001003c6 PA:0x001ffffc store:0x001003c6 load:0x00000000
            174	        83	001003e0	c422	c.swsp	x8,8(x2)	  x2:0x001ffff0  x8:0x00000000 PA:0x001ffff8 store:0x00000000 load:0x00000000
            178	        85	001003e2	c226	c.swsp	x9,4(x2)	  x2:0x001ffff0  x9:0x00000000 PA:0x001ffff4 store:0x00000000 load:0x00000000
            180	        86	001003e4	00040437	lui	x8,0x40	  x8=0x00040000
            182	        87	001003e8	07a1	c.addi	x15,8	 x15:0x60000000 x15=0x60000008
            188	        90	001003ea	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x60000008 PA:0x00040000 store:0x60000008 load:0x00000000
            190	        91	001003ec	700107b7	lui	x15,0x70010	 x15=0x70010000
            192	        92	001003f0	17fd	c.addi	x15,-1	 x15:0x70010000 x15=0x7000ffff
            198	        95	001003f2	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x7000ffff PA:0x00040000 store:0x7000ffff load:0x00000000
            200	        96	001003f4	701107b7	lui	x15,0x70110	 x15=0x70110000
            202	        97	001003f8	17fd	c.addi	x15,-1	 x15:0x70110000 x15=0x7010ffff
            208	       100	001003fa	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x7010ffff PA:0x00040000 store:0x7010ffff load:0x00000000
            210	       101	001003fc	702107b7	lui	x15,0x70210	 x15=0x70210000
            212	       102	00100400	17fd	c.addi	x15,-1	 x15:0x70210000 x15=0x7020ffff
            218	       105	00100402	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x7020ffff PA:0x00040000 store:0x7020ffff load:0x00000000
            220	       106	00100404	703107b7	lui	x15,0x70310	 x15=0x70310000
            222	       107	00100408	17fd	c.addi	x15,-1	 x15:0x70310000 x15=0x7030ffff
            228	       110	0010040a	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x7030ffff PA:0x00040000 store:0x7030ffff load:0x00000000
            230	       111	0010040c	704027b7	lui	x15,0x70402	 x15=0x70402000
            232	       112	00100410	22278793	addi	x15,x15,546	 x15:0x70402000 x15=0x70402222
            238	       115	00100414	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x70402222 PA:0x00040000 store:0x70402222 load:0x00000000
            240	       116	00100416	705027b7	lui	x15,0x70502	 x15=0x70502000
            242	       117	0010041a	22278793	addi	x15,x15,546	 x15:0x70502000 x15=0x70502222
            248	       120	0010041e	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x70502222 PA:0x00040000 store:0x70502222 load:0x00000000
            250	       121	00100420	706027b7	lui	x15,0x70602	 x15=0x70602000
            252	       122	00100424	22278793	addi	x15,x15,546	 x15:0x70602000 x15=0x70602222
            258	       125	00100428	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x70602222 PA:0x00040000 store:0x70602222 load:0x00000000
            260	       126	0010042a	707027b7	lui	x15,0x70702	 x15=0x70702000
            262	       127	0010042e	22278793	addi	x15,x15,546	 x15:0x70702000 x15=0x70702222
            268	       130	00100432	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x70702222 PA:0x00040000 store:0x70702222 load:0x00000000
            270	       131	00100434	708037b7	lui	x15,0x70803	 x15=0x70803000
            272	       132	00100438	33378793	addi	x15,x15,819	 x15:0x70803000 x15=0x70803333
            278	       135	0010043c	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x70803333 PA:0x00040000 store:0x70803333 load:0x00000000
            280	       136	0010043e	709037b7	lui	x15,0x70903	 x15=0x70903000
